2019-06-06 01:23:59.239 ERROR 5964 --- [main] o.s.b.c.l.LoggingApplicationListener     : Cannot set level 'TARCE' for 'null'
2019-06-06 01:28:16.536  INFO 25728 --- [main] com.zaxxer.hikari.HikariDataSource       : primaryData - Starting...
2019-06-06 01:28:16.739  INFO 25728 --- [main] com.zaxxer.hikari.HikariDataSource       : primaryData - Start completed.
2019-06-06 01:28:16.896  WARN 25728 --- [main] c.b.m.core.toolkit.TableInfoHelper       : Warn: Could not find @TableId in Class: com.example.mpdemo.entity.City.
2019-06-06 01:28:17.848  INFO 25728 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2019-06-06 01:28:18.364  INFO 25728 --- [main] c.example.mpdemo.mapper.TestUserMapper   : Started TestUserMapper in 5.173 seconds (JVM running for 6.316)
2019-06-06 01:28:18.598 DEBUG 25728 --- [main] c.e.m.m.UserMapper.selectBatchRoleUser   : ==>  Preparing: select u.*,r.id as `roleId`,r.name as `role_name` from `user` u left join user_role ur on ur.`userId` = u.`userId` left join `role` r on r.id = ur.`roleId` where u.`userId` = ? 
2019-06-06 01:28:18.614 DEBUG 25728 --- [main] c.e.m.m.UserMapper.selectBatchRoleUser   : ==> Parameters: 3(Integer)
2019-06-06 01:28:18.645 DEBUG 25728 --- [main] c.e.m.m.UserMapper.selectBatchRoleUser   : <==      Total: 2
2019-06-06 01:28:18.645  INFO 25728 --- [main] c.example.mpdemo.mapper.TestUserMapper   : UserVO(userId=3, userName=123, password=bbh, phone=phone3, modifyTime=Mon Sep 03 08:00:00 CST 2018, createTime=null, role=[Role(id=2, name=中书省, createTime=null, updateTime=null), Role(id=4, name=尚书省, createTime=null, updateTime=null)])
2019-06-06 01:28:18.660  INFO 25728 --- [Thread-2] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2019-06-06 01:28:18.660  INFO 25728 --- [Thread-2] com.zaxxer.hikari.HikariDataSource       : primaryData - Shutdown initiated...
2019-06-06 01:28:18.676  INFO 25728 --- [Thread-2] com.zaxxer.hikari.HikariDataSource       : primaryData - Shutdown completed.
